Year,Extent
1978,13.15
1979,11.655833333333334
1980,11.205833333333333
1981,11.386666666666665
1982,11.594999999999999
1983,11.344166666666666
1984,11.428333333333333
1985,11.569166666666666
1986,11.044166666666667
1987,-822.7075
1988,-822.1641666666666
1989,11.380833333333333
1990,11.365
1991,11.498333333333333
1992,11.374166666666667
1993,11.37
1994,11.7275
1995,11.748333333333333
1996,11.743333333333332
1997,11.340833333333334
1998,11.689166666666667
1999,11.7125
2000,11.724166666666667
2001,11.6275
2002,11.175833333333335
2003,11.924166666666666
2004,11.938333333333333
2005,11.6475
2006,11.411666666666667
2007,11.636666666666665
2008,12.213333333333333
2009,11.999166666666667
2010,12.0575
2011,11.450000000000001
2012,11.980833333333335
2013,12.474166666666667
2014,12.726666666666667
2015,12.365833333333335
2016,11.1775
2017,10.7025
2018,10.951666666666668
2019,10.83
2020,11.5775
2021,11.528333333333334
2022,10.680833333333332
2023,9.915454545454544
